商品管理番号（商品URL）,商品名,SKU管理番号,システム連携用SKU番号,バリエーション項目キー1,バリエーション項目選択肢1,バリエーション項目キー2,バリエーション項目選択肢2,バリエーション項目キー3,バリエーション項目選択肢3,バリエーション項目キー4,バリエーション項目選択肢4,バリエーション項目キー5,バリエーション項目選択肢5,バリエーション項目キー6,バリエーション項目選択肢6,通常購入販売価格
"10001244","【 お得なクーポンで★最大20％OFF 】＼レビュー特典付き／フィリップス ソニッケアー 替えブラシ 互換 電動歯ブラシ 替えブラシ 互換ブラシ 歯垢除去 ホワイトニング 歯間 RP1 PKT2-2F","","","","","","","","","","","","","","",""
"10001244","","3350","tb-23-03-hx664-p","horizontal-key","HX664-P","","","","","","","","","","","780"
"10001244","","3351","tb-23-03-hx924-p","horizontal-key","HX924-P","","","","","","","","","","","780"
"10001244","","3352","tb-23-03-hx934-p","horizontal-key","HX934-P","","","","","","","","","","","780"
"10001314","【 お得なクーポンで★最大20％OFF 】＼レビュー特典付き／イヤーパッド ブラック 交換用 ヘッドホン ソフトフォーム RPR RP1","","","","","","","","","","","","","","",""
"10001314","","r-sku00000001","ep-anker-25-01-q10-no-no","Key0","Q10用","Key1","なし","Key2","なし","","","","","","","980"
"10001314","","r-sku00000002","ep-anker-25-01-q10-no-black","Key0","Q10用","Key1","なし","Key2","ブラック","","","","","","","1680"
"10001314","","r-sku00000003","ep-anker-25-01-q10-no-white","Key0","Q10用","Key1","なし","Key2","ホワイト","","","","","","","1680"
"10001314","","r-sku00000004","ep-anker-25-01-q10-no-blue","Key0","Q10用","Key1","なし","Key2","ブルー","","","","","","","1680"
"10001314","","r-sku00000005","ep-anker-25-01-q10-no-red","Key0","Q10用","Key1","なし","Key2","レッド","","","","","","","1680"
"10001314","","r-sku00000006","ep-anker-25-01-q10-tool-no","Key0","Q10用","Key1","購入","Key2","なし","","","","","","","1280"
"10001314","","r-sku00000007","ep-anker-25-01-q10-tool-black","Key0","Q10用","Key1","購入","Key2","ブラック","","","","","","","1980"
"10001314","","r-sku00000008","ep-anker-25-01-q10-tool-white","Key0","Q10用","Key1","購入","Key2","ホワイト","","","","","","","1980"
"10001314","","r-sku00000009","ep-anker-25-01-q10-tool-blue","Key0","Q10用","Key1","購入","Key2","ブルー","","","","","","","1980"
"10001314","","r-sku00000010","ep-anker-25-01-q10-tool-red","Key0","Q10用","Key1","購入","Key2","レッド","","","","","","","1980"
"10001314","","r-sku00000011","ep-anker-25-01-q20-no-no","Key0","Q20用","Key1","なし","Key2","なし","","","","","","","980"
"10001314","","r-sku00000012","ep-anker-25-01-q20-no-black","Key0","Q20用","Key1","なし","Key2","ブラック","","","","","","","1680"
"10001314","","r-sku00000013","ep-anker-25-01-q20-no-white","Key0","Q20用","Key1","なし","Key2","ホワイト","","","","","","","1680"
"10001314","","r-sku00000014","ep-anker-25-01-q20-no-blue","Key0","Q20用","Key1","なし","Key2","ブルー","","","","","","","1680"
"10001314","","r-sku00000015","ep-anker-25-01-q20-no-red","Key0","Q20用","Key1","なし","Key2","レッド","","","","","","","1680"
"10001314","","r-sku00000016","ep-anker-25-01-q20-tool-no","Key0","Q20用","Key1","購入","Key2","なし","","","","","","","1280"
"10001314","","r-sku00000017","ep-anker-25-01-q20-tool-black","Key0","Q20用","Key1","購入","Key2","ブラック","","","","","","","1980"
"10001314","","r-sku00000018","ep-anker-25-01-q20-tool-white","Key0","Q20用","Key1","購入","Key2","ホワイト","","","","","","","1980"
"10001314","","r-sku00000019","ep-anker-25-01-q20-tool-blue","Key0","Q20用","Key1","購入","Key2","ブルー","","","","","","","1980"
"10001314","","r-sku00000020","ep-anker-25-01-q20-tool-red","Key0","Q20用","Key1","購入","Key2","レッド","","","","","","","1980"
"10001314","","r-sku00000021","ep-anker-25-01-q30-no-no","Key0","Q30.Q35用","Key1","なし","Key2","なし","","","","","","","980"
"10001314","","r-sku00000022","ep-anker-25-01-q30-no-black","Key0","Q30.Q35用","Key1","なし","Key2","ブラック","","","","","","","1680"
"10001314","","r-sku00000023","ep-anker-25-01-q30-no-white","Key0","Q30.Q35用","Key1","なし","Key2","ホワイト","","","","","","","1680"
"10001314","","r-sku00000024","ep-anker-25-01-q30-no-blue","Key0","Q30.Q35用","Key1","なし","Key2","ブルー","","","","","","","1680"
"10001314","","r-sku00000025","ep-anker-25-01-q30-no-red","Key0","Q30.Q35用","Key1","なし","Key2","レッド","","","","","","","1680"
"10001314","","r-sku00000026","ep-anker-25-01-q30-tool-no","Key0","Q30.Q35用","Key1","購入","Key2","なし","","","","","","","1280"
"10001314","","r-sku00000027","ep-anker-25-01-q30-tool-black","Key0","Q30.Q35用","Key1","購入","Key2","ブラック","","","","","","","1980"
"10001314","","r-sku00000028","ep-anker-25-01-q30-tool-white","Key0","Q30.Q35用","Key1","購入","Key2","ホワイト","","","","","","","1980"
"10001314","","r-sku00000029","ep-anker-25-01-q30-tool-blue","Key0","Q30.Q35用","Key1","購入","Key2","ブルー","","","","","","","1980"
"10001314","","r-sku00000030","ep-anker-25-01-q30-tool-red","Key0","Q30.Q35用","Key1","購入","Key2","レッド","","","","","","","1980"
"10001314","","r-sku00000031","ep-anker-25-01-q45-no-no","Key0","Q45用","Key1","なし","Key2","なし","","","","","","","1480"
"10001314","","r-sku00000032","ep-anker-25-01-q45-no-black","Key0","Q45用","Key1","なし","Key2","ブラック","","","","","","","2180"
"10001314","","r-sku00000033","ep-anker-25-01-q45-no-white","Key0","Q45用","Key1","なし","Key2","ホワイト","","","","","","","2180"
"10001314","","r-sku00000034","ep-anker-25-01-q45-no-blue","Key0","Q45用","Key1","なし","Key2","ブルー","","","","","","","2180"
"10001314","","r-sku00000035","ep-anker-25-01-q45-no-red","Key0","Q45用","Key1","なし","Key2","レッド","","","","","","","2180"
"10001314","","r-sku00000036","ep-anker-25-01-q45-tool-no","Key0","Q45用","Key1","購入","Key2","なし","","","","","","","1780"
"10001314","","r-sku00000037","ep-anker-25-01-q45-tool-black","Key0","Q45用","Key1","購入","Key2","ブラック","","","","","","","2480"
"10001314","","r-sku00000038","ep-anker-25-01-q45-tool-white","Key0","Q45用","Key1","購入","Key2","ホワイト","","","","","","","2480"
"10001314","","r-sku00000039","ep-anker-25-01-q45-tool-blue","Key0","Q45用","Key1","購入","Key2","ブルー","","","","","","","2480"
"10001314","","r-sku00000040","ep-anker-25-01-q45-tool-red","Key0","Q45用","Key1","購入","Key2","レッド","","","","","","","2480"
"10001315","【 お得なクーポンで★最大20％OFF 】＼レビュー特典付き／イヤーパッド Bose Noise Cancelling 700 NC700 NCH700 ヘッドホン 交換用 ヘッドフォン パッド イヤークッション ワイヤレスヘッドホン ホワイト ブラック グレー ブルー RPR RP1","","","","","","","","","","","","","","",""
"10001315","","r-sku00000021","ep-bose-25-02-01-0-0","Key0","ブラック","Key2","なし","Key1","なし","","","","","","","1980"
"10001315","","r-sku00000022","ep-bose-25-02-01-0-black","Key0","ブラック","Key2","なし","Key1","ブラック","","","","","","","2680"
"10001315","","r-sku00000023","ep-bose-25-02-01-0-white","Key0","ブラック","Key2","なし","Key1","ホワイト","","","","","","","2680"
"10001315","","r-sku00000024","ep-bose-25-02-01-0-red","Key0","ブラック","Key2","なし","Key1","レッド","","","","","","","2680"
"10001315","","r-sku00000025","ep-bose-25-02-01-0-blue","Key0","ブラック","Key2","なし","Key1","ブルー","","","","","","","2680"
"10001315","","r-sku00000026","ep-bose-25-02-01-tool-0","Key0","ブラック","Key2","購入","Key1","なし","","","","","","","2280"
"10001315","","r-sku00000027","ep-bose-25-02-01-tool-black","Key0","ブラック","Key2","購入","Key1","ブラック","","","","","","","2980"
"10001315","","r-sku00000028","ep-bose-25-02-01-tool-white","Key0","ブラック","Key2","購入","Key1","ホワイト","","","","","","","2980"
"10001315","","r-sku00000029","ep-bose-25-02-01-tool-red","Key0","ブラック","Key2","購入","Key1","レッド","","","","","","","2980"
"10001315","","r-sku00000030","ep-bose-25-02-01-tool-blue","Key0","ブラック","Key2","購入","Key1","ブルー","","","","","","","2980"
"10001315","","r-sku00000031","ep-bose-25-02-02-0-0","Key0","グレー","Key2","なし","Key1","なし","","","","","","","1980"
"10001315","","r-sku00000032","ep-bose-25-02-02-0-black","Key0","グレー","Key2","なし","Key1","ブラック","","","","","","","2680"
"10001315","","r-sku00000033","ep-bose-25-02-02-0-white","Key0","グレー","Key2","なし","Key1","ホワイト","","","","","","","2680"
"10001315","","r-sku00000034","ep-bose-25-02-02-0-red","Key0","グレー","Key2","なし","Key1","レッド","","","","","","","2680"
"10001315","","r-sku00000035","ep-bose-25-02-02-0-blue","Key0","グレー","Key2","なし","Key1","ブルー","","","","","","","2680"
"10001315","","r-sku00000036","ep-bose-25-02-02-tool-0","Key0","グレー","Key2","購入","Key1","なし","","","","","","","2280"
"10001315","","r-sku00000037","ep-bose-25-02-02-tool-black","Key0","グレー","Key2","購入","Key1","ブラック","","","","","","","2980"
"10001315","","r-sku00000038","ep-bose-25-02-02-tool-white","Key0","グレー","Key2","購入","Key1","ホワイト","","","","","","","2980"
"10001315","","r-sku00000039","ep-bose-25-02-02-tool-red","Key0","グレー","Key2","購入","Key1","レッド","","","","","","","2980"
"10001315","","r-sku00000040","ep-bose-25-02-02-tool-blue","Key0","グレー","Key2","購入","Key1","ブルー","","","","","","","2980"
"10001315","","r-sku00000041","ep-bose-25-02-03-0-0","Key0","ネイビー","Key2","なし","Key1","なし","","","","","","","1980"
"10001315","","r-sku00000042","ep-bose-25-02-03-0-black","Key0","ネイビー","Key2","なし","Key1","ブラック","","","","","","","2680"
"10001315","","r-sku00000043","ep-bose-25-02-03-0-white","Key0","ネイビー","Key2","なし","Key1","ホワイト","","","","","","","2680"
"10001315","","r-sku00000044","ep-bose-25-02-03-0-red","Key0","ネイビー","Key2","なし","Key1","レッド","","","","","","","2680"
"10001315","","r-sku00000045","ep-bose-25-02-03-0-blue","Key0","ネイビー","Key2","なし","Key1","ブルー","","","","","","","2680"
"10001315","","r-sku00000046","ep-bose-25-02-03-tool-0","Key0","ネイビー","Key2","購入","Key1","なし","","","","","","","2280"
"10001315","","r-sku00000047","ep-bose-25-02-03-tool-black","Key0","ネイビー","Key2","購入","Key1","ブラック","","","","","","","2980"
"10001315","","r-sku00000048","ep-bose-25-02-03-tool-white","Key0","ネイビー","Key2","購入","Key1","ホワイト","","","","","","","2980"
"10001315","","r-sku00000049","ep-bose-25-02-03-tool-red","Key0","ネイビー","Key2","購入","Key1","レッド","","","","","","","2980"
"10001315","","r-sku00000050","ep-bose-25-02-03-tool-blue","Key0","ネイビー","Key2","購入","Key1","ブルー","","","","","","","2980"
"10001315","","r-sku00000051","ep-bose-25-02-04-0-0","Key0","ホワイト","Key2","なし","Key1","なし","","","","","","","1980"
"10001315","","r-sku00000052","ep-bose-25-02-04-0-black","Key0","ホワイト","Key2","なし","Key1","ブラック","","","","","","","2680"
"10001315","","r-sku00000053","ep-bose-25-02-04-0-white","Key0","ホワイト","Key2","なし","Key1","ホワイト","","","","","","","2680"
"10001315","","r-sku00000054","ep-bose-25-02-04-0-red","Key0","ホワイト","Key2","なし","Key1","レッド","","","","","","","2680"
"10001315","","r-sku00000055","ep-bose-25-02-04-0-blue","Key0","ホワイト","Key2","なし","Key1","ブルー","","","","","","","2680"
"10001315","","r-sku00000056","ep-bose-25-02-04-tool-0","Key0","ホワイト","Key2","購入","Key1","なし","","","","","","","2280"
"10001315","","r-sku00000057","ep-bose-25-02-04-tool-black","Key0","ホワイト","Key2","購入","Key1","ブラック","","","","","","","2980"
"10001315","","r-sku00000058","ep-bose-25-02-04-tool-white","Key0","ホワイト","Key2","購入","Key1","ホワイト","","","","","","","2980"
"10001315","","r-sku00000059","ep-bose-25-02-04-tool-red","Key0","ホワイト","Key2","購入","Key1","レッド","","","","","","","2980"
"10001315","","r-sku00000060","ep-bose-25-02-04-tool-blue","Key0","ホワイト","Key2","購入","Key1","ブルー","","","","","","","2980"
